language,bench_case,precision,opt,samp_rate,buff_size,inputs,outputs,warmup_iters,run_iters,elapsed_s,ns_per_compute,ns_per_frame,ns_per_out_samp,frames_per_s,out_samp_per_s,checksum
cpp,buffer_sweep,single,O0,96000,16,0,1,100,100000,0.011518624999999999,115.18625,7.1991406250000001,7.1991406250000001,138905468.31761605,138905468.31761605,-12.846266090869904
cpp,buffer_sweep,single,O3,96000,16,0,1,100,100000,0.006225291,62.25291,3.890806875,3.890806875,257016097.72137558,257016097.72137558,-12.846266090869904
cpp,buffer_sweep,double,O0,96000,16,0,1,100,100000,0.012135625000000001,121.35625,7.5847656250000002,7.5847656250000002,131843230.15913889,131843230.15913889,-12.846266090869904
cpp,buffer_sweep,double,O3,96000,16,0,1,100,100000,0.0057098330000000001,57.098329999999997,3.5686456249999998,3.5686456249999998,280218353.14623034,280218353.14623034,-12.846266090869904
cpp,buffer_sweep,single,O0,96000,32,0,1,100,100000,0.024271874999999998,242.71875,7.5849609375,7.5849609375,131839835.20020601,131839835.20020601,29.472574293613434
cpp,buffer_sweep,single,O3,96000,32,0,1,100,100000,0.012485291000000001,124.85290999999999,3.9016534374999998,3.9016534374999998,256301595.21311918,256301595.21311918,29.472574293613434
cpp,buffer_sweep,double,O0,96000,32,0,1,100,100000,0.024274166999999999,242.74167,7.5856771875,7.5856771875,131827386.70290932,131827386.70290932,29.472574293613434
cpp,buffer_sweep,double,O3,96000,32,0,1,100,100000,0.011173667,111.73667,3.4917709375000001,3.4917709375000001,286387629.05678147,286387629.05678147,29.472574293613434
cpp,buffer_sweep,single,O0,96000,64,0,1,100,100000,0.048435291999999998,484.35291999999998,7.5680143749999997,7.5680143749999997,132135055.57063639,132135055.57063639,-30.865780006395653
cpp,buffer_sweep,single,O3,96000,64,0,1,100,100000,0.024889833,248.89832999999999,3.8890364062499998,3.8890364062499998,257133103.3036662,257133103.3036662,-30.865780006395653
cpp,buffer_sweep,double,O0,96000,64,0,1,100,100000,0.048487291000000002,484.87290999999999,7.5761392187499998,7.5761392187499998,131993350.58747663,131993350.58747663,-30.865780006395653
cpp,buffer_sweep,double,O3,96000,64,0,1,100,100000,0.022063375,220.63374999999999,3.4474023437499999,3.4474023437499999,290073481.50498283,290073481.50498283,-30.865780006395653
cpp,buffer_sweep,single,O0,96000,128,0,1,100,100000,0.097052625000000003,970.52625,7.582236328125,7.582236328125,131887210.67565148,131887210.67565148,61.57727388641797
cpp,buffer_sweep,single,O3,96000,128,0,1,100,100000,0.051132042000000003,511.32042000000001,3.9946907812500001,3.9946907812500001,250332267.19167599,250332267.19167599,61.57727388641797
cpp,buffer_sweep,double,O0,96000,128,0,1,100,100000,0.097075416999999997,970.75417000000004,7.5840169531250003,7.5840169531250003,131856245.33552094,131856245.33552094,61.57727388641797
