language,dsp,bench_case,mode,precision,opt,samp_rate,buff_size,inputs,outputs,warmup_iters,run_iters,batches,elapsed_s,ns_per_compute,fast_ns_per_compute,slow_ns_per_compute,spread_ns_per_compute,spread_percent,ns_per_frame,ns_per_out_samp,frames_per_s,fast_frames_per_s,slow_frames_per_s,out_samp_per_s,fast_out_samp_per_s,slow_out_samp_per_s,checksum
cpp,HPF,run,scalar,double,O3,48000,64,1,1,50,560000,562,0.100374664,179.24047142857142,178.4083,180.8958,2.4875000000000114,1.38780041146639,2.8006323660714285,2.8006323660714285,357062216.4174816,358727704.9330104,353794836.58548176,357062216.4174816,358727704.9330104,353794836.58548176,3.477907739579677e-09
cpp,HPF,run,scalar,single,O3,48000,64,1,1,50,360000,362,0.1005402919999999,279.27858888888886,278.4917,281.775,3.283299999999997,1.175636132029534,4.3637279513888885,4.3637279513888885,229161856.82054716,229809362.3616072,227131576.6125455,229161856.82054716,229809362.3616072,227131576.6125455,-1.2699456419795754e-07
cpp,HPF,run,vec,double,O3,48000,64,1,1,50,660000,663,0.100194082,151.80921515151516,150.7792,153.7792,3.0,1.9761646201818583,2.3720189867424244,2.3720189867424244,421581785.6387965,424461729.4693167,416181122.024305,421581785.6387965,424461729.4693167,416181122.024305,3.477907739579677e-09
cpp,HPF,run,vec,single,O3,48000,64,1,1,50,670000,676,0.099705206,148.81374029850747,147.4,150.475,3.0749999999999886,2.066341450615921,2.325214692164179,2.325214692164179,430067814.11193305,434192672.9986432,425319820.5682007,430067814.11193305,434192672.9986432,425319820.5682007,-1.2699456419795754e-07
mojo,HPF,run,scalar,double,O3,48000,64,1,1,50,690000,693,0.1000169999988429,144.95217391136654,144.30000010179356,146.49999993707752,2.199999835283961,1.517741870245553,2.2648777173651022,2.2648777173651022,441524940.7651786,443520443.20757085,436860068.4470192,441524940.7651786,443520443.20757085,436860068.4470192,3.477907739579677e-09
mojo,HPF,run,scalar,single,O3,48000,64,1,1,50,690000,691,0.100470999997924,145.61014492452767,144.79999990726355,147.9000000472297,3.1000001399661414,2.1289726355075924,2.275158514445745,2.275158514445745,439529814.582441,441988950.5593128,432724813.9253721,439529814.582441,441988950.5593128,432724813.9253721,6.553163984790444e-07
mojo,HPF,run,vec,double,O3,48000,64,1,1,50,450000,453,0.0752720000018598,167.2711111152441,163.40000001946464,169.5000000836444,6.100000064179767,3.6467744032483136,2.6136111111756892,2.6136111111756892,382612392.3808109,391676866.5384097,377581120.7576251,382612392.3808109,391676866.5384097,377581120.7576251,3.477907739579677e-09
mojo,HPF,run,vec,single,O3,48000,64,1,1,50,440000,445,0.0706239999999525,160.50909090898296,155.2000001538545,163.69999993912643,8.499999785271939,5.295650070120877,2.5079545454528587,2.5079545454528587,398731309.4701368,412371133.6118225,390959071.6175875,398731309.4701368,412371133.6118225,390959071.6175875,6.553163984790444e-07
cpp,LPF,run,scalar,double,O3,48000,64,1,1,50,560000,563,0.1002272879999999,178.9773,178.6208,180.3084,1.687600000000003,0.942912872191056,2.7965203125,2.7965203125,357587247.09781635,358300936.9569501,354947412.32244307,357587247.09781635,358300936.9569501,354947412.32244307,2.08000000519678
cpp,LPF,run,scalar,single,O3,48000,64,1,1,50,360000,363,0.100554249,279.31735833333335,278.7417,280.7709,2.029200000000003,0.726485461593971,4.3643337239583335,4.3643337239583335,229130048.994747,229603249.17297983,227943850.30642423,229130048.994747,229603249.17297983,227943850.30642423,2.0799921094439924
cpp,LPF,run,vec,double,O3,48000,64,1,1,50,670000,673,0.1002548719999999,149.63413731343283,149.1,152.1291,3.0290999999999997,2.024337530449393,2.338033395522388,2.338033395522388,427709887.25615245,429242119.3829645,420695317.3324499,427709887.25615245,429242119.3829645,420695317.3324499,2.08000000519678
cpp,LPF,run,vec,single,O3,48000,64,1,1,50,680000,681,0.100476418,147.7594382352941,147.1041,149.0125,1.9084000000000003,1.2915587814844278,2.3087412224264705,2.3087412224264705,433136459.9402816,435066051.86395216,429494169.9521853,433136459.9402816,435066051.86395216,429494169.9521853,2.0799921094439924
mojo,LPF,run,scalar,double,O3,48000,64,1,1,50,690000,696,0.0997200000001612,144.5217391306684,144.00000000023283,145.99999994970858,1.9999999494757503,1.3838748146169644,2.258152173916694,2.258152173916694,442839951.8645066,444444444.4437258,438356164.5345586,442839951.8645066,444444444.4437258,438356164.5345586,2.08000000519678
mojo,LPF,run,scalar,single,O3,48000,64,1,1,50,690000,691,0.10059000000183,145.78260869830444,145.10000000882428,147.80000001337612,2.700000004551839,1.852072773741798,2.277853260911007,2.277853260911007,439009841.9246107,441075120.5796542,433017591.30045944,439009841.9246107,441075120.5796542,433017591.30045944,2.0799921094439924
mojo,LPF,run,vec,double,O3,48000,64,1,1,50,530000,530,0.1036889999995764,195.63962264071031,164.6999999138643,288.10000003431924,123.40000012045492,63.075157503793314,3.056869103761099,3.056869103761099,327132096.9450814,388585306.821318,222145088.4844712,327132096.9450814,388585306.821318,222145088.4844712,2.08000000519678
mojo,LPF,run,vec,single,O3,48000,64,1,1,50,500000,502,0.1057819999987259,211.56399999745193,160.59999998105923,285.500000063621,124.90000008256176,59.036509086643306,3.3056874999601864,3.3056874999601864,302508933.47058487,398505604.0320549,224168126.0446172,302508933.47058487,398505604.0320549,224168126.0446172,2.0799921094439924
cpp,bandfilter,run,scalar,double,O3,48000,64,1,1,50,510000,513,0.1002801659999999,196.62777647058823,194.2958,199.1,4.804200000000009,2.443296713330136,3.072309007352941,3.072309007352941,325488093.0292836,329394665.2475246,321446509.29181314,325488093.0292836,329394665.2475246,321446509.29181314,2.0800000071758404
cpp,bandfilter,run,scalar,single,O3,48000,64,1,1,50,330000,336,0.098533831,298.58736666666664,295.6166,301.5417,5.925099999999986,1.9843773251848855,4.665427604166666,4.665427604166666,214342625.12334463,216496637.874869,212242618.51677564,214342625.12334463,216496637.874869,212242618.51677564,2.079995501204394
cpp,bandfilter,run,vec,double,O3,48000,64,1,1,50,610000,619,0.098484748,161.45040655737705,156.6083,164.0125,7.404199999999975,4.58605224841514,2.5226626024590164,2.5226626024590164,396406558.30281454,408662886.9606528,390214160.50605893,396406558.30281454,408662886.9606528,390214160.50605893,2.0800000071758404
cpp,bandfilter,run,vec,single,O3,48000,64,1,1,50,620000,621,0.100371498,161.8895129032258,161.1334,163.7042,2.5707999999999913,1.5879966243006505,2.5295236391129032,2.5295236391129032,395331351.9341915,397186430.62208086,390949041.0142196,395331351.9341915,397186430.62208086,390949041.0142196,2.079995501204394
mojo,bandfilter,run,scalar,double,O3,48000,64,1,1,50,630000,638,0.0987780000014026,156.79047619270276,149.09999990777578,160.2000000275439,11.100000119768085,7.07951170843162,2.4498511905109805,2.4498511905109805,408188058.0638142,429242119.6484676,399500624.1510375,408188058.0638142,429242119.6484676,399500624.1510375,2.0800000071758404
mojo,bandfilter,run,scalar,single,O3,48000,64,1,1,50,700000,707,0.0995880000009492,142.26857142992753,137.4999999825377,146.29999986937037,8.799999886832666,6.185484115279099,2.2229464285926177,2.2229464285926177,449853395.98719704,465454545.5136575,437457279.9531434,449853395.98719704,465454545.5136575,437457279.9531434,2.0799977355636656
mojo,bandfilter,run,vec,double,O3,48000,64,1,1,50,610000,618,0.0994689999988622,163.06393442436445,162.29999982897425,164.9000001634704,2.600000334496144,1.5944668228903356,2.5478739753806945,2.5478739753806945,392484090.525154,394331485.3200298,388114008.1052447,392484090.525154,394331485.3200298,388114008.1052447,2.0800000071758404
