language,dsp,bench_case,mode,precision,opt,samp_rate,buff_size,inputs,outputs,warmup_iters,run_iters,batches,elapsed_s,ns_per_compute,fast_ns_per_compute,slow_ns_per_compute,spread_ns_per_compute,spread_percent,ns_per_frame,ns_per_out_samp,frames_per_s,fast_frames_per_s,slow_frames_per_s,out_samp_per_s,fast_out_samp_per_s,slow_out_samp_per_s,checksum
cpp,carre_volterra,run,scalar,double,O3,48000,64,0,1,50,340000,349,0.098822874,290.65551176470586,289.1875,293.1083,3.9207999999999856,1.3489508511966524,4.541492371323529,4.541492371323529,220191936.53485528,221309703.9118219,218349326.85290727,220191936.53485528,221309703.9118219,218349326.85290727,18.895068841520697
cpp,carre_volterra,run,scalar,single,O3,48000,64,0,1,50,230000,232,0.101037918,439.29529565217393,435.8333,442.2375,6.404200000000003,1.4578348694793974,6.863988994565218,6.863988994565218,145687879.27716404,146845135.5139683,144718618.38944006,145687879.27716404,146845135.5139683,144718618.38944006,16.740274476615014
cpp,carre_volterra,run,vec,double,O3,48000,64,0,1,50,162470,203,0.10155,625.0384686403644,622.8730627306273,627.3187638512682,4.44570112064082,0.7112684008572269,9.766226072505694,9.766226072505694,102393697.685869,102749667.355061,102021497.98148528,102393697.685869,102749667.355061,102021497.98148528,-9.06368223571917
cpp,carre_volterra,run,vec,single,O3,48000,64,0,1,50,182730,202,0.1011969989999999,553.806156624528,551.9818400612625,556.4050328227571,4.423192761494647,0.7986897055197426,8.65322119725825,8.65322119725825,115563901.25758572,115945843.42285042,115024121.32276168,115563901.25758572,115945843.42285042,115024121.32276168,-11.599082057829946
mojo,carre_volterra,run,scalar,double,O3,48000,64,0,1,50,200000,205,0.0996869999999034,498.4349999995175,497.4999999831198,500.8000000088942,3.3000000257743523,0.662072291427678,7.788046874992461,7.788046874992461,128401897.94067824,128643216.08476688,127795527.15427987,128401897.94067824,128643216.08476688,127795527.15427987,18.89506887504831
mojo,carre_volterra,run,scalar,single,O3,48000,64,0,1,50,200000,207,0.0986159999993105,493.07999999655294,491.8000000543543,494.6999999447144,2.89999989036005,0.5881398333699042,7.70437499994614,7.70437499994614,129796381.9267612,130134200.88029005,129371336.17778932,129796381.9267612,130134200.88029005,129371336.17778932,-12.902442606166003
mojo,carre_volterra,run,vec,double,O3,48000,64,0,1,50,99868,199,0.0941119999988586,942.3639203634664,931.711880206714,966.7624863516924,35.05060614497836,3.7194342214905114,14.724436255679164,14.724436255679164,67914314.85971516,68690763.05627942,66200334.52220429,67914314.85971516,68690763.05627942,66200334.52220429,1.3171266904682852
mojo,carre_volterra,run,vec,single,O3,48000,64,0,1,50,113509,200,0.1007040000004053,887.1895620647293,872.9465220772379,906.7811773827524,33.8346553055145,3.8136895148734777,13.862336907261396,13.862336907261396,72137909.11950625,73314914.92480831,70579321.22579293,72137909.11950625,73314914.92480831,70579321.22579293,18.528829650953412
cpp,carre_volterra_test,carre_volterra_test,scalar,double,O3,48000,64,0,1,50,340000,349,0.098567288,289.90378823529414,289.1417,291.7,2.5582999999999743,0.8824651845955132,4.529746691176471,4.529746691176471,220762896.50984412,221344759.33426413,219403496.74322936,220762896.50984412,221344759.33426413,219403496.74322936,18.895068841520697
cpp,cubic_distortion,run,scalar,double,O3,48000,64,0,2,50,140150,1000,1.5493164589999997,11054.701812343916,10818.084722222222,12038.185082872928,1220.1003606507056,11.036935969528509,172.7297158178737,86.36485790893684,5789391.797844446,5916019.484348547,5316416.0178144,11578783.595688893,11832038.968697092,10632832.0356288,2.5678639840334654
cpp,cubic_distortion,run,scalar,single,O3,48000,64,0,2,50,143850,1000,1.4645664579999995,10181.205825512689,9963.396469789544,10441.420014094432,478.02354430488776,4.695156472596077,159.08134102363573,79.54067051181786,6286092.344742202,6423512.322736251,6129434.493929858,12572184.689484404,12847024.645472502,12258868.987859717,-5.9802364856004715
cpp,cubic_distortion,run,vec,double,O3,48000,64,0,2,50,135828,907,1.0435398770000006,7682.803818064022,7453.470824949698,7786.391388174808,332.9205632251096,4.3333211560386005,120.04380965725036,60.021904828625175,8330292.106316887,8586603.678083347,8219468.661336083,16660584.212633774,17173207.356166694,16438937.322672168,-6.611492269221344
cpp,cubic_distortion,run,vec,single,O3,48000,64,0,2,50,133868,889,0.973681666,7273.4459766336995,7120.5981853532085,7357.474391805377,236.87620645216884,3.2567260032334775,113.64759338490154,56.82379669245077,8799130.454203293,8988008.919200847,8698637.139842723,17598260.908406585,17976017.838401694,17397274.279685445,30.8837638348341
mojo,cubic_distortion,run,scalar,double,O3,48000,64,0,2,50,143257,999,1.4850679999981369,10366.46027766976,9850.98870066297,10528.409089519382,677.4203888564116,6.534731921132547,161.97594183859002,80.98797091929501,6173756.353252177,6496809.807090004,6078791.150289695,12347512.706504354,12993619.614180008,12157582.30057939,-6.611492269221344
mojo,cubic_distortion,run,scalar,single,O3,48000,64,0,2,50,142329,981,1.3731540000007951,9647.745715917314,9207.257501188267,9817.871760771835,610.6142595835681,6.329087411333275,150.74602681120805,75.37301340560401,6633674.008883726,6951038.351185498,6518724.379321962,13267348.017767452,13902076.702370996,13037448.758643923,30.875792533159256
mojo,cubic_distortion,run,vec,double,O3,48000,64,0,2,50,132550,1000,1.7515989999992598,13214.628442091733,13117.994101046532,13423.600603414929,305.606502368395,2.3126378748188308,206.47856940768332,103.23928470384166,4843117.631377721,4878794.692771983,4767722.3042317405,9686235.262755442,9757589.385543969,9535444.60846348,5.848037553019822
mojo,cubic_distortion,run,vec,single,O3,48000,64,0,2,50,133450,1000,1.7393000000010943,13033.345822413596,12948.288420445537,13150.957289830108,202.66886938457176,1.5550026228571312,203.64602847521243,101.82301423760622,4910481.228077172,4942738.215418732,4866565.877260695,9820962.456154345,9885476.430837464,9733131.75452139,26.082562640309337
