language,dsp,bench_case,mode,precision,opt,samp_rate,buff_size,inputs,outputs,warmup_iters,run_iters,batches,elapsed_s,ns_per_compute,fast_ns_per_compute,slow_ns_per_compute,spread_ns_per_compute,spread_percent,ns_per_frame,ns_per_out_samp,frames_per_s,fast_frames_per_s,slow_frames_per_s,out_samp_per_s,fast_out_samp_per_s,slow_out_samp_per_s,checksum
cpp,volterra_mini_01,run,scalar,double,O3,48000,64,0,1,50,390000,398,0.0993146649999999,254.6529871794872,251.95,257.8,5.850000000000023,2.2972438159057464,3.9789529246794872,3.9789529246794872,251322400.37259352,254018654.49493948,248254460.8223429,251322400.37259352,254018654.49493948,248254460.8223429,-16.749167061178014
cpp,volterra_mini_01,run,scalar,single,O3,48000,64,0,1,50,270000,274,0.1017063739999999,376.69027407407407,374.3541,378.6416,4.287499999999966,1.1382029999417649,5.885785532407407,5.885785532407407,169900855.96798488,170961130.1171805,169025273.5040207,169900855.96798488,170961130.1171805,169025273.5040207,14.613922667456793
mojo,volterra_mini_01,run,scalar,double,O3,48000,64,0,1,50,230000,238,0.0985070000006089,428.29130435047375,425.6999998688116,430.2999999708845,4.600000102072954,1.074035371567745,6.692051630476152,6.692051630476152,149431004.90228108,150340615.50322515,148733441.79486507,149431004.90228108,150340615.50322515,148733441.79486507,18.95597597025335
mojo,volterra_mini_01,run,scalar,single,O3,48000,64,0,1,50,240000,244,0.0993879999987257,414.11666666135704,413.0999999688356,416.50000002846355,3.400000059627928,0.8210246853957872,6.470572916583704,6.470572916583704,154545820.42295784,154926168.0097511,153661464.57533312,154545820.42295784,154926168.0097511,153661464.57533312,18.474355675280098
cpp,volterra_mini_50,run,scalar,double,O3,48000,64,0,1,50,390000,399,0.098231707,251.8761717948718,248.9917,257.6833,8.691599999999966,3.4507432513617897,3.935565184294872,3.935565184294872,254093110.68981016,257036680.3391438,248366890.675492,254093110.68981016,257036680.3391438,248366890.675492,0.547698860282253
cpp,volterra_mini_50,run,scalar,single,O3,48000,64,0,1,50,260000,269,0.097144457,373.63252692307685,371.6375,378.3042,6.666699999999992,1.784293261323184,5.838008233173077,5.838008233173077,171291296.6305427,172210823.7193502,169176022.8937453,171291296.6305427,172210823.7193502,169176022.8937453,-3.2450136174593354
mojo,volterra_mini_50,run,scalar,double,O3,48000,64,0,1,50,380000,388,0.0983079999987239,258.70526315453674,256.1999999670661,262.69999998476123,6.500000017695129,2.51251170480145,4.0422697367896365,4.0422697367896365,247385767.18390843,249804840.0008862,243623905.60986876,247385767.18390843,249804840.0008862,243623905.60986876,1.4951292034238577
mojo,volterra_mini_50,run,scalar,single,O3,48000,64,0,1,50,400000,402,0.101066000002902,252.665000007255,250.4000000044471,255.69999997969717,5.299999975250103,2.097639156629497,3.9478906251133594,3.9478906251133594,253299823.87019297,255591054.30855975,250293312.49543083,253299823.87019297,255591054.30855975,250293312.49543083,-46.91018897294998
cpp,volterra_mini_99,run,scalar,double,O3,48000,64,0,1,50,390000,399,0.099120834,254.15598461538465,251.8875,256.4833,4.595799999999997,1.8082596036268208,3.9711872596153848,3.9711872596153848,251813861.85673133,254081683.29115185,249528916.6975004,251813861.85673133,254081683.29115185,249528916.6975004,-1.7921104152919725
cpp,volterra_mini_99,run,scalar,single,O3,48000,64,0,1,50,270000,273,0.1000566659999999,370.5802444444444,368.3083,374.1875,5.879200000000026,1.5864850024085422,5.790316319444444,5.790316319444444,172702136.60727015,173767466.0060607,171037247.36930016,172702136.60727015,173767466.0060607,171037247.36930016,-10.819179832469672
mojo,volterra_mini_99,run,scalar,double,O3,48000,64,0,1,50,230000,237,0.0988610000003973,429.8304347843363,428.3000000214088,431.7000000810367,3.400000059627928,0.7910096132056932,6.716100543505255,6.716100543505255,148895924.58037892,149427971.04086137,148251100.27330604,148895924.58037892,149427971.04086137,148251100.27330604,-1.7921104608103633
mojo,volterra_mini_99,run,scalar,single,O3,48000,64,0,1,50,240000,244,0.0997659999993629,415.6916666640123,415.09999991831137,416.90000016387785,1.80000024556648,0.4330133100843109,6.495182291625193,6.495182291625193,153960267.02582118,154179715.76149055,153514032.08165616,153960267.02582118,154179715.76149055,153514032.08165616,12.838725065812469
